date,portfolio_value,product_mtm,hedge_mtm,cash,cashflows,transaction_costs,product_pnl,hedge_pnl,total_pnl,spot,volatility,rate,basis_yield,implied_q,pricing_q,active_contract,futures_price,futures_ttm,futures_multiplier,futures_contracts,alive,knocked_in,knocked_out,matured
2025-10-28,846712.5790216154,2358650.5394197097,-1511937.9603980943,0.0,0.0,0.0,2358650.5394197097,-1511937.9603980943,846712.5790216154,4377.07985,0.25,0.02,-0.05988179932868701,0.07988179932868701,0.08,IM2511,4359.845389689424,0.06575342465753424,200.0,2.0,True,True,False,False
2025-10-29,848014.8178262126,2359666.0798953567,-1511651.262069144,0.0,0.0,0.0,2359666.0798953567,-1511651.262069144,848014.8178262126,4377.07985,0.25,0.02,-0.059886718153597106,0.0798867181535971,0.08,IM2511,4360.5621355118,0.06301369863013699,200.0,1.0,True,True,False,False
2025-10-30,849112.5183014704,2360620.407639956,-1511507.8893384857,0.0,0.0,0.0,2360620.407639956,-1511507.8893384857,849112.5183014704,4377.07985,0.25,0.02,-0.05989163751741856,0.07989163751741855,0.08,IM2511,4361.278999165091,0.06027397260273973,200.0,2.0,True,True,False,False
2025-10-31,850460.9242608659,2361682.0209979205,-1511221.0967370546,0.0,0.0,0.0,2361682.0209979205,-1511221.0967370546,850460.9242608659,4377.07985,0.25,0.02,-0.059896557420213443,0.07989655742021344,0.08,IM2511,4361.995980668668,0.057534246575342465,200.0,2.0,True,True,False,False
2025-11-03,854247.9954785954,2364608.431493166,-1510360.4360145705,0.0,0.0,0.0,2364608.431493166,-1510360.4360145705,854247.9954785954,4377.07985,0.25,0.02,-0.059911320363119136,0.07991132036311914,0.08,IM2511,4364.147632474878,0.049315068493150684,200.0,2.0,True,True,False,False
2025-11-04,855569.5653048845,2365643.020080056,-1510073.4547751716,0.0,0.0,0.0,2365643.020080056,-1510073.4547751716,855569.5653048845,4377.07985,0.25,0.02,-0.05991624242248346,0.07991624242248346,0.08,IM2511,4364.865085573376,0.04657534246575343,200.0,2.0,True,True,False,False
2025-11-05,856824.570955415,2366610.9973123115,-1509786.4263568965,0.0,0.0,0.0,2366610.9973123115,-1509786.4263568965,856824.570955415,4377.07985,0.25,0.02,-0.05992116502115333,0.07992116502115333,0.08,IM2511,4365.5826566190635,0.043835616438356165,200.0,2.0,True,True,False,False
2025-11-06,858155.6023681094,2367654.953120099,-1509499.3507519895,0.0,0.0,0.0,2367654.953120099,-1509499.3507519895,858155.6023681094,4377.07985,0.25,0.02,-0.05992608815919844,0.07992608815919844,0.08,IM2511,4366.300345631331,0.0410958904109589,200.0,2.0,True,True,False,False
2025-11-07,859478.9377797728,2368691.165732466,-1509212.2279526934,0.0,0.0,0.0,2368691.165732466,-1509212.2279526934,859478.9377797728,4377.07985,0.25,0.02,-0.059931011836686726,0.07993101183668673,0.08,IM2511,4367.018152629571,0.038356164383561646,200.0,1.0,True,True,False,False
2025-11-10,862888.5094968006,2371669.9116285853,-1508781.4021317847,0.0,0.0,0.0,2371669.9116285853,-1508781.4021317847,862888.5094968006,4377.07985,0.25,0.02,-0.05994578610644715,0.07994578610644715,0.08,IM2511,4369.172281734114,0.030136986301369864,200.0,1.0,True,True,False,False
