tag,trade_date,universe,mode,tenor,pillar,maturity,strike_over_forward,bid_iv,market_iv,ask_iv,model_iv,error_iv,inside_public_band
20260720,2026-07-20,core,hard_feller,3M,ATM,0.25205479452054796,1.0,0.0225,0.0225,0.0225,0.02269592676073608,0.0001959267607360808,False
20260720,2026-07-20,core,hard_feller,3M,25C,0.25205479452054796,1.0082264598710262,0.024263,0.024263,0.024263,0.023693096618539626,-0.0005699033814603738,False
20260720,2026-07-20,core,hard_feller,3M,10C,0.25205479452054796,1.0173561578626487,0.026725,0.026725,0.026725,0.025637113291973938,-0.001087886708026061,False
20260720,2026-07-20,core,hard_feller,6M,10P,0.5041095890410959,0.9740968540362355,0.02785,0.02935,0.03085,0.02874780265022577,-0.0006021973497742326,True
20260720,2026-07-20,core,hard_feller,6M,25P,0.5041095890410959,0.987775944560131,0.02665,0.026699999999999998,0.02675,0.027005913553014505,0.0003059135530145071,False
20260720,2026-07-20,core,hard_feller,6M,ATM,0.5041095890410959,1.0,0.025249999999999998,0.0255,0.025750000000000002,0.02660676039574553,0.0011067603957455319,False
20260720,2026-07-20,core,hard_feller,6M,25C,0.5041095890410959,1.0129827958376083,0.02665,0.027200000000000002,0.02775,0.027745338187951527,0.0005453381879515252,True
20260720,2026-07-20,core,hard_feller,6M,10C,0.5041095890410959,1.0279797103602637,0.02785,0.030350000000000002,0.032850000000000004,0.03010848614866299,-0.00024151385133701353,True
20260720,2026-07-20,core,hard_feller,9M,10P,0.7506849315068493,0.964620275283554,0.031,0.033275,0.03515,0.03196023659515385,-0.0013147634048461462,True
20260720,2026-07-20,core,hard_feller,9M,25P,0.7506849315068493,0.9834937515794964,0.029825,0.030163000000000002,0.0301,0.029984704386080814,-0.00017829561391918824,True
20260720,2026-07-20,core,hard_feller,9M,ATM,0.7506849315068493,1.0,0.027999999999999997,0.0285,0.0286,0.02955734054742672,0.001057340547426719,False
20260720,2026-07-20,core,hard_feller,9M,25C,0.7506849315068493,1.0175524644577503,0.029575,0.030288,0.030600000000000002,0.030799158714512463,0.0005111587145124642,False
20260720,2026-07-20,core,hard_feller,9M,10C,0.7506849315068493,1.0384114879897974,0.031,0.034025,0.03665,0.033470665181483575,-0.0005543348185164249,True
20260720,2026-07-20,core,hard_feller,1Y,10P,1.0,0.9565890175826571,0.0338,0.035796,0.03785,0.03439714306808026,-0.0013988569319197397,True
20260720,2026-07-20,core,hard_feller,1Y,25P,1.0,0.97997771643909,0.032345,0.032345,0.032395,0.032341765521410326,-3.234478589672629e-06,False
20260720,2026-07-20,core,hard_feller,1Y,ATM,1.0,1.0,0.0305,0.030600000000000002,0.030750000000000003,0.0319363984333655,0.0013363984333654988,False
20260720,2026-07-20,core,hard_feller,1Y,25C,1.0,1.0214994991106199,0.032095,0.032345,0.032645,0.033207617821263094,0.0008626178212630953,False
20260720,2026-07-20,core,hard_feller,1Y,10C,1.0,1.0473987146854116,0.0338,0.036296,0.038849999999999996,0.036001417111160325,-0.00029458288883967704,True
