date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2023-12-06,63519.8711105709,2237.6643519184413,-0.37147031207400866,2237.6643519184413,-0.37147031207400866,-2237.6643519184413,0.37147031207400866,11.0,11.0,200.0,2200.0,2200.0,-37.6643519184413,-37.6643519184413,0.37147031207400866,0.37147031207400866,-2268.826737437144,-2268.826737437144,134792.51472745088,134792.51472745088,-2268.826737437144,134792.51472745088,,,,,
2023-12-07,60565.46157470458,2242.338625246646,-0.3724301390730902,2242.338625246646,-0.3724301390730902,-2242.338625246646,0.3724301390730902,11.0,11.0,200.0,2200.0,2200.0,-42.33862524664619,-42.33862524664619,0.3724301390730902,0.3724301390730902,-2549.136650437648,-2549.136650437648,135007.39237497325,135007.39237497325,-2549.136650437648,135007.39237497325,,,,,
2023-12-08,24454.43201589193,2257.1987205099686,-0.37600275469591016,2257.1987205099686,-0.37600275469591016,-2257.1987205099686,0.37600275469591016,11.0,11.0,200.0,2200.0,2200.0,-57.19872050996855,-57.19872050996855,0.37600275469591016,0.37600275469591016,-3433.7215583709467,-3433.7215583709467,135502.88717669898,135502.88717669898,-3433.7215583709467,135502.88717669898,,,,,
2023-12-11,192261.23760235828,2226.969409239938,-0.36657450431585653,2226.969409239938,-0.36657450431585653,-2226.969409239938,0.36657450431585653,11.0,11.0,200.0,2200.0,2200.0,-26.96940923993816,-26.96940923993816,0.36657450431585653,0.36657450431585653,-1638.4131868536351,-1638.4131868536351,135290.17503606153,135290.17503606153,-1638.4131868536351,135290.17503606153,,,,,
2023-12-12,204834.259459223,2229.0085124292627,-0.36667416055092444,2229.0085124292627,-0.36667416055092444,-2229.0085124292627,0.36667416055092444,11.0,11.0,200.0,2200.0,2200.0,-29.008512429262737,-29.008512429262737,0.36667416055092444,0.36667416055092444,-1763.4245697236388,-1763.4245697236388,135501.2071726378,135501.2071726378,-1763.4245697236388,135501.2071726378,,,,,
2023-12-13,79722.43467314974,2263.409970957819,-0.3760096372224892,2263.409970957819,-0.3760096372224892,-2263.409970957819,0.3760096372224892,11.0,11.0,200.0,2200.0,2200.0,-63.40997095781904,-63.40997095781904,0.3760096372224892,0.3760096372224892,-3816.9968090905245,-3816.9968090905245,136247.1609318163,136247.1609318163,-3816.9968090905245,136247.1609318163,,,,,
2023-12-14,20382.905735100874,2281.2485503896232,-0.3807244866759857,2281.2485503896232,-0.3807244866759857,-2281.2485503896232,0.3807244866759857,11.0,11.0,200.0,2200.0,2200.0,-81.24855038962323,-81.24855038962323,0.3807244866759857,0.3807244866759857,-4868.301016346687,-4868.301016346687,136689.26704121986,136689.26704121986,-4868.301016346687,136689.26704121986,,,,,
2023-12-15,-72994.01353983831,2299.243947220491,-0.38632366783424116,2299.243947220491,-0.38632366783424116,-2299.243947220491,0.38632366783424116,11.0,11.0,200.0,2200.0,2200.0,-99.24394722049101,-99.24394722049101,0.38632366783424116,0.38632366783424116,-5906.6027627747435,-5906.6027627747435,136841.80242125876,136841.80242125876,-5906.6027627747435,136841.80242125876,,,,,
2023-12-18,-284759.426366858,2341.611038692933,-0.3997966585059552,2341.611038692933,-0.3997966585059552,-2341.611038692933,0.3997966585059552,11.0,12.0,200.0,2200.0,2400.0,-141.6110386929331,58.38896130706689,0.3997966585059552,0.3997966585059552,-8294.165616797027,3419.8443832029734,137148.27498188242,137148.27498188242,3419.8443832029734,137148.27498188242,,,,,
2023-12-19,-266879.9869246248,2342.2133239475256,-0.3994536675503766,2342.2133239475256,-0.3994536675503766,-2342.2133239475256,0.3994536675503766,12.0,12.0,200.0,2400.0,2400.0,57.78667605247438,57.78667605247438,0.3994536675503766,0.3994536675503766,3388.3460207407775,3388.3460207407775,137336.66390180585,137336.66390180585,3388.3460207407775,137336.66390180585,,,,,
