variant,variant_label,tenor,combo,combo_label,ko_barrier,ki_barrier,spot,price,delta,gamma,vega,dividend_rho
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-1.9879968280319364,0.5247803502791272,0.25185093221022603,-0.4895897226086652,-0.5303973890629088
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-0.8351230554479582,0.39344095751464236,0.1835993638739048,-0.4410030842545315,-0.42372490495170556
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-0.0009732296943130627,0.2734401295353857,0.1301888433594142,-0.36833315433660213,-0.31887223175148316
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,0.5577002705339288,0.17362908161014623,0.0824543962628983,-0.2834402497660242,-0.22383311916326365
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,0.8982171141171743,0.0993710680524227,0.058660997444816905,-0.20075169623784528,-0.14552995057612872
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,0.9557268100089418,0.09905153556788017,-0.06110987361255551,-0.1949768107373534,-0.13168866639605703
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,1.0871382893229231,0.04610635331671825,0.013921440054297319,-0.13440843897785015,-0.08716520540532624
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,1.185795031272417,0.025477402555057614,-0.03583263043412847,-0.08276910120065284,-0.04764063341800018
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.2259095244676061,0.010213229794679776,-0.01788683483520447,-0.04307658511795531,-0.024019432436217514
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.240251266508004,0.0035658583235850866,0.005384161312553749,-0.02004057345552046,-0.011166386880434587
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2459116294595831,0.0006496525750067914,0.0012957656190239674,-0.009161019877524046,-0.004756032774233532
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.2477747915338004,0.0003018103176739042,-0.0014578043127583303,-0.003926366873052922,-0.0018461487838461466
european_ki,European KI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.247917060258447,1.9605934706290462e-05,0.00043210431582655734,-0.0014491143795680728,-0.0006761997105808604
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-37.81956319873678,1.2091078674017908,-0.0042249766188717786,0.13526203372533985,-0.7884551110407756
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-34.7428938369829,1.2471108112210232,0.02910438972787233,0.11936428600249371,-0.8467808358773254
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-31.583571923973988,1.277234348292293,0.0493392871913574,0.08389778362407085,-0.9003128747778533
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-28.373155863894144,1.2858655289855234,0.02267933779713519,0.028882194246580895,-0.945355530080505
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-25.148005409053102,1.280770061903763,-0.031210255606305158,-0.04427996473904727,-0.9787973399561167
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-21.958466642068935,1.2627622483084966,-0.06565308789808229,-0.12606825587628734,-0.9975502055254992
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-18.853825125414986,1.2205689796849934,0.032518791916497015,-0.21153014075392562,-0.9995022789031083
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-15.871070842173028,1.1593059131223824,-0.08690725688731435,-0.3049519818405084,-0.9843442072776654
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-13.072252130928453,1.1103753481873935,0.16774269545850592,-0.3824620012794817,-0.9503892686943516
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,82.5,-10.332167658290427,1.0443343426465816,-0.09701561063926147,-0.4641080608951764,-0.9056017507939274
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,85.0,-7.852521848556498,0.9304857530265247,-0.07202401343445776,-0.5203082467396554,-0.8421613507461956
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,87.5,-5.666467896972485,0.8136484685720698,0.000444794900352704,-0.549750023065358,-0.7610567482457142
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,90.0,-3.804637797190979,0.6440995090026627,0.12540647123010903,-0.5222091916504543,-0.6675869238156107
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-2.25974771073771,0.5469664613330666,0.21766785016442983,-0.5028792366549966,-0.5621303165496805
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-1.0516518097881087,0.4156617783008833,0.15555427004946726,-0.45328315740298075,-0.4504629962693407
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-0.1639582881225746,0.29431486495721326,0.10841572521531653,-0.37946600904074346,-0.3400175890219792
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,0.4430034796462459,0.19166620894952296,0.06624858935755307,-0.2932273557199625,-0.2393896716005206
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,0.8233243998859275,0.11349071624675579,0.047665994118366674,-0.20899019981739686,-0.15610389445184225
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,0.8864584874785107,0.11118584684177615,-0.05801577979416935,-0.20173176800829917,-0.1414225425097948
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,1.0420300349440856,0.05681493083687811,0.009386826496114244,-0.139896536420675,-0.09377334302835827
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,1.1604146491698235,0.03188031008396052,-0.03394498878866338,-0.08641940878979892,-0.051443327460365396
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.213009383573308,0.013821458746988195,-0.017093855479249034,-0.045914380843517844,-0.0260155883828439
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.23434690904409,0.005533906463999156,0.004113965926788094,-0.02188138977668408,-0.012119135634280909
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2433765904465905,0.00160059664181987,0.0008370881519277162,-0.010084477818894433,-0.005176860124200822
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.2467563420368417,0.0006913599006466294,-0.0014945680525363938,-0.004405537982622221,-0.0020179963980737625
parachute,Parachute,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.2475505705578867,0.0001803526838604445,0.0003205870860180217,-0.001668228084228618,-0.0007403265205763176
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-39.672786067702425,0.9912251842583686,0.026619850123823754,0.02836920789729902,-0.6388680887731368
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-37.190773577888535,1.001668899746278,-0.030678021449857623,0.03365054250276245,-0.6689517141317936
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-34.689364375898165,1.0050796456992936,-0.09094012661492035,0.040760325203443415,-0.6987952762422367
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-32.16419351502995,1.0251018594255796,-0.056706057786858784,0.037755616088851696,-0.7277432039877851
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-29.625364693722123,1.0363476782191938,0.08295314775721156,0.046037170059921806,-0.7540315927851537
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-27.059825834767786,1.0311621650860474,0.1920928907910021,0.05695361536576016,-0.7770355889260117
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-24.4658607463079,1.0325284558357641,-0.2230875261977619,0.0186846829048406,-0.794917969404807
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-21.901906992038697,1.031624935542597,0.2620182293041663,0.04014155326144575,-0.8038399259788775
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-19.312949557937962,1.1007753103467488,0.10248502004344127,-0.0263380623428624,-0.8034552633159109
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,82.5,-16.409650088128508,1.1562369193374316,0.25410067899790745,-0.07394804217976159,-0.8012102035085178
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,85.0,-13.573216680204546,1.1351301111173902,0.10097373304089793,-0.16533923152311836,-0.779467289440916
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,87.5,-10.860886967701335,1.0390937036349146,-0.2661124716246377,-0.26523833156112,-0.7356709068858436
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,90.0,-8.382166130434241,0.9425685274559785,-0.0025457221273886377,-0.3223791365689177,-0.6718156293249677
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-6.132260357413527,0.8445640292142657,0.017312289999665567,-0.3522769113675084,-0.5878432739460315
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-4.168029654392046,0.723480056052775,0.0033434638553309108,-0.35400981702759093,-0.48846637370187906
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-2.5262762252466593,0.5890679859371499,-0.0075557478175695735,-0.32930945553394686,-0.38158081505508257
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,-1.2277321971111217,0.44926593524819247,-0.025481913708284232,-0.2839194851719935,-0.2775856548198119
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,-0.2714349314454718,0.31653307111387785,-0.018422576321879797,-0.22771835454794254,-0.18671707323247855
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,103.0,-0.11533848945972364,0.29756745916367305,-0.05868831026437421,-0.21881358138230445,-0.17054687931270796
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,105.0,0.38099358627941,0.20498719080036235,-0.02557031286945348,-0.1640105597821519,-0.11554512520983717
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,107.5,0.7922075495816031,0.12564604434452167,-0.03663107070264334,-0.11221856824162013,-0.06541337768805056
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,110.0,1.0256569292533306,0.0667826069894291,-0.02055088738576981,-0.07061921166294916,-0.03401412446770724
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,112.5,1.1474587815905912,0.0341137139264516,-0.0075779652486380935,-0.03946639519439943,-0.016221959827134036
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,115.0,1.2060424893334856,0.015093125348921129,-0.004163880016543045,-0.019876176773233167,-0.007108803981625833
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,117.5,1.231936994232744,0.0064285924599640915,-0.0031265770597192163,-0.00981727699787771,-0.0028537039323373037
standard_dki,Standard DKI,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,120.0,1.2421473859376906,0.0025194313965226645,-0.0009215333106678733,-0.0042557153714763984,-0.0010675192648745835
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,60.0,-39.49419110124938,1.015435345542682,-0.005266163608613144,0.056968734403675114,-0.6557263824880977
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,62.5,-36.932231303142906,1.0323778671628019,0.01600035113769991,0.07045472414304044,-0.6908723255293125
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,65.0,-34.32678251242366,1.0517882697330203,0.033243251065207174,0.08074743935160456,-0.7261679191472581
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,67.5,-31.677917094721167,1.0655848250684024,0.019726760308723435,0.08520341098903117,-0.7600450162588146
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,70.0,-28.9881200528861,1.078237955144914,-0.014673700936712945,0.08083924330864889,-0.7907218776388447
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,72.5,-26.270916796704146,1.0912133674822424,-0.03647245454794324,0.07140570025552861,-0.8156087744186635
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,75.0,-23.543397935615985,1.0921444685454749,0.041040724589594096,0.05362385695270788,-0.8322470052636533
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,77.5,-20.818587783301002,1.0833477497022346,-0.043346007085169155,0.023102127046094267,-0.8385636802646701
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,80.0,-18.135730921478668,1.1176582025913762,0.30169052078454767,-0.011610665378078977,-0.8317954482055967
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,82.5,-15.243183625065463,1.1354536289428616,-0.05354010291231969,-0.08884648219252256,-0.8165966246556522
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,85.0,-12.472086418003876,1.0747833484029372,-0.04083996954465503,-0.16163536519644062,-0.7818790710345525
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,87.5,-9.870420702604333,1.000330462598961,-0.04307201437538369,-0.2258914364372444,-0.7275234362657201
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,90.0,-7.4870249820790375,0.9034490986112479,-0.04370837273551192,-0.2716648321318127,-0.6540391585607708
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,92.5,-5.365059141563862,0.7886700522330965,-0.037943819577157416,-0.2958029849883843,-0.5644541217627363
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,95.0,-3.538600620579695,0.6681658307376075,-0.028504328088754888,-0.2998636620891246,-0.4628987109523308
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,97.5,-2.0409327836225293,0.5336158718899452,-0.027954767550140786,-0.27999551623547525,-0.35738467719026445
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,100.0,-0.8787472466329742,0.39738239533445063,-0.037321078382475115,-0.24133143148864789,-0.25700971326649835
stepdown,Step-down,1,KO100_KI80,KO 100 / KI 80,100.0,80.0,102.5,-0.03945665712103161,0.27523471409738215,-0.026355746203713698,-0.19289408115859466,-0.17120623465111673
