scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
50,standard,1.0,0.01,0.05,0.35,97.5,70.0,NONE,0.0,FULL,0.0,0.38213457676249224,0.3072902269503146,0.3072902269503146,0.0,99.69270977304969,,,,
51,standard,1.0,0.01,0.05,0.35,97.5,75.0,NONE,0.0,FULL,0.0,0.4299566757121846,0.3072902269503146,0.3072902269503146,0.0,99.69270977304969,,,,
52,standard,1.0,0.01,0.05,0.35,97.5,80.0,NONE,0.0,FULL,0.0,0.4395713918425748,0.3072902269503146,0.3072902269503146,0.0,99.69270977304969,,,,
53,standard,1.0,0.01,0.05,0.35,100.0,65.0,NONE,0.0,FULL,0.0,0.312438903917483,0.36534276383324027,0.36534276383324027,0.0,99.63465723616676,,,,
54,standard,1.0,0.01,0.05,0.35,100.0,70.0,NONE,0.0,FULL,0.0,0.39930037837551163,0.36534276383324027,0.36534276383324027,0.0,99.63465723616676,,,,
55,standard,1.0,0.01,0.05,0.35,100.0,75.0,NONE,0.0,FULL,0.0,0.46658345358209335,0.36534276383324027,0.36534276383324027,0.0,99.63465723616676,,,,
56,standard,1.0,0.01,0.05,0.35,100.0,80.0,NONE,0.0,FULL,0.0,0.4910812327595461,0.36534276383324027,0.36534276383324027,0.0,99.63465723616676,,,,
57,standard,1.0,0.01,0.05,0.35,102.5,65.0,NONE,0.0,FULL,0.0,0.30699326561543805,0.42161491865731193,0.42161491865731193,0.0,99.57838508134269,,,,
58,standard,1.0,0.01,0.05,0.35,102.5,70.0,NONE,0.0,FULL,0.0,0.4029665044681351,0.42161491865731193,0.42161491865731193,0.0,99.57838508134269,,,,
59,standard,1.0,0.01,0.05,0.35,102.5,75.0,NONE,0.0,FULL,0.0,0.49438334337484235,0.42161491865731193,0.42161491865731193,0.0,99.57838508134269,,,,
60,standard,1.0,0.01,0.05,0.35,102.5,80.0,NONE,0.0,FULL,0.0,0.5366120453456417,0.42161491865731193,0.42161491865731193,0.0,99.57838508134269,,,,
61,standard,1.0,0.01,0.05,0.35,105.0,65.0,NONE,0.0,FULL,0.0,0.29535854292236924,0.4912887609461194,0.4912887609461194,0.0,99.50871123905388,,,,
62,standard,1.0,0.01,0.05,0.35,105.0,70.0,NONE,0.0,FULL,0.0,0.39651877377022243,0.4912887609461194,0.4912887609461194,0.0,99.50871123905388,,,,
63,standard,1.0,0.01,0.05,0.35,105.0,75.0,NONE,0.0,FULL,0.0,0.5055692833120685,0.4912887609461194,0.4912887609461194,0.0,99.50871123905388,,,,
64,standard,1.0,0.01,0.05,0.35,105.0,80.0,NONE,0.0,FULL,0.0,0.5755228373808811,0.4912887609461194,0.4912887609461194,0.0,99.50871123905388,,,,
65,standard,1.0,0.01,0.083333,0.15,97.5,65.0,NONE,0.0,FULL,0.0,0.024229422741306378,0.26888118923015725,0.26888118923015725,0.0,99.73111881076984,,,,
66,standard,1.0,0.01,0.083333,0.15,97.5,70.0,NONE,0.0,FULL,0.0,0.047531043683797014,0.26888118923015725,0.26888118923015725,0.0,99.73111881076984,,,,
67,standard,1.0,0.01,0.083333,0.15,97.5,75.0,NONE,0.0,FULL,0.0,0.09649499006688818,0.26888118923015725,0.26888118923015725,0.0,99.73111881076984,,,,
68,standard,1.0,0.01,0.083333,0.15,97.5,80.0,NONE,0.0,FULL,0.0,0.17049149192675553,0.26888118923015725,0.26888118923015725,0.0,99.73111881076984,,,,
69,standard,1.0,0.01,0.083333,0.15,100.0,65.0,NONE,0.0,FULL,0.0,0.023016293863710492,0.4094638408181197,0.4094638408181197,0.0,99.59053615918188,,,,
70,standard,1.0,0.01,0.083333,0.15,100.0,70.0,NONE,0.0,FULL,0.0,0.04469916173421561,0.4094638408181197,0.4094638408181197,0.0,99.59053615918188,,,,
71,standard,1.0,0.01,0.083333,0.15,100.0,75.0,NONE,0.0,FULL,0.0,0.09287909699729878,0.4094638408181197,0.4094638408181197,0.0,99.59053615918188,,,,
72,standard,1.0,0.01,0.083333,0.15,100.0,80.0,NONE,0.0,FULL,0.0,0.17395582399990545,0.4094638408181197,0.4094638408181197,0.0,99.59053615918188,,,,
73,standard,1.0,0.01,0.083333,0.15,102.5,65.0,NONE,0.0,FULL,0.0,0.020383049029449422,0.5512636335577241,0.5512636335577241,0.0,99.44873636644228,,,,
74,standard,1.0,0.01,0.083333,0.15,102.5,70.0,NONE,0.0,FULL,0.0,0.03992588029391817,0.5512636335577241,0.5512636335577241,0.0,99.44873636644228,,,,
75,standard,1.0,0.01,0.083333,0.15,102.5,75.0,NONE,0.0,FULL,0.0,0.0830405026128906,0.5512636335577241,0.5512636335577241,0.0,99.44873636644228,,,,
76,standard,1.0,0.01,0.083333,0.15,102.5,80.0,NONE,0.0,FULL,0.0,0.15896270188688988,0.5512636335577241,0.5512636335577241,0.0,99.44873636644228,,,,
77,standard,1.0,0.01,0.083333,0.15,105.0,65.0,NONE,0.0,FULL,0.0,0.01887264017125676,0.7027740534842906,0.7027740534842906,0.0,99.29722594651571,,,,
78,standard,1.0,0.01,0.083333,0.15,105.0,70.0,NONE,0.0,FULL,0.0,0.03517816556773099,0.7027740534842906,0.7027740534842906,0.0,99.29722594651571,,,,
79,standard,1.0,0.01,0.083333,0.15,105.0,75.0,NONE,0.0,FULL,0.0,0.07266279044292212,0.7027740534842906,0.7027740534842906,0.0,99.29722594651571,,,,
80,standard,1.0,0.01,0.083333,0.15,105.0,80.0,NONE,0.0,FULL,0.0,0.1388752225028149,0.7027740534842906,0.7027740534842906,0.0,99.29722594651571,,,,
81,standard,1.0,0.01,0.083333,0.216667,97.5,65.0,NONE,0.0,FULL,0.0,0.09439174944260338,0.29846972955026274,0.29846972955026274,0.0,99.70153027044974,,,,
82,standard,1.0,0.01,0.083333,0.216667,97.5,70.0,NONE,0.0,FULL,0.0,0.1542382320943666,0.29846972955026274,0.29846972955026274,0.0,99.70153027044974,,,,
83,standard,1.0,0.01,0.083333,0.216667,97.5,75.0,NONE,0.0,FULL,0.0,0.23989669188412543,0.29846972955026274,0.29846972955026274,0.0,99.70153027044974,,,,
84,standard,1.0,0.01,0.083333,0.216667,97.5,80.0,NONE,0.0,FULL,0.0,0.31984998692304945,0.29846972955026274,0.29846972955026274,0.0,99.70153027044974,,,,
85,standard,1.0,0.01,0.083333,0.216667,100.0,65.0,NONE,0.0,FULL,0.0,0.09078112966355842,0.39013331075628344,0.39013331075628344,0.0,99.60986668924372,,,,
86,standard,1.0,0.01,0.083333,0.216667,100.0,70.0,NONE,0.0,FULL,0.0,0.1495355837192999,0.39013331075628344,0.39013331075628344,0.0,99.60986668924372,,,,
87,standard,1.0,0.01,0.083333,0.216667,100.0,75.0,NONE,0.0,FULL,0.0,0.24289726924728972,0.39013331075628344,0.39013331075628344,0.0,99.60986668924372,,,,
88,standard,1.0,0.01,0.083333,0.216667,100.0,80.0,NONE,0.0,FULL,0.0,0.3514671570098499,0.39013331075628344,0.39013331075628344,0.0,99.60986668924372,,,,
89,standard,1.0,0.01,0.083333,0.216667,102.5,65.0,NONE,0.0,FULL,0.0,0.08355900186841679,0.4868316570078264,0.4868316570078264,0.0,99.51316834299217,,,,
90,standard,1.0,0.01,0.083333,0.216667,102.5,70.0,NONE,0.0,FULL,0.0,0.13993574347000248,0.4868316570078264,0.4868316570078264,0.0,99.51316834299217,,,,
91,standard,1.0,0.01,0.083333,0.216667,102.5,75.0,NONE,0.0,FULL,0.0,0.2324862832570921,0.4868316570078264,0.4868316570078264,0.0,99.51316834299217,,,,
92,standard,1.0,0.01,0.083333,0.216667,102.5,80.0,NONE,0.0,FULL,0.0,0.3554737930183435,0.4868316570078264,0.4868316570078264,0.0,99.51316834299217,,,,
93,standard,1.0,0.01,0.083333,0.216667,105.0,65.0,NONE,0.0,FULL,0.0,0.07560149338755189,0.6002524677244878,0.6002524677244878,0.0,99.39974753227551,,,,
94,standard,1.0,0.01,0.083333,0.216667,105.0,70.0,NONE,0.0,FULL,0.0,0.1272851497480842,0.6002524677244878,0.6002524677244878,0.0,99.39974753227551,,,,
95,standard,1.0,0.01,0.083333,0.216667,105.0,75.0,NONE,0.0,FULL,0.0,0.2133528241204212,0.6002524677244878,0.6002524677244878,0.0,99.39974753227551,,,,
96,standard,1.0,0.01,0.083333,0.216667,105.0,80.0,NONE,0.0,FULL,0.0,0.33370537465393135,0.6002524677244878,0.6002524677244878,0.0,99.39974753227551,,,,
97,standard,1.0,0.01,0.083333,0.283333,97.5,65.0,NONE,0.0,FULL,0.0,0.212752292171343,0.30950969435974685,0.30950969435974685,0.0,99.69049030564025,,,,
98,standard,1.0,0.01,0.083333,0.283333,97.5,70.0,NONE,0.0,FULL,0.0,0.2972997169295427,0.30950969435974685,0.30950969435974685,0.0,99.69049030564025,,,,
