scenario_id,variant,tenor,r,q,vol,ko_barrier,ki_barrier,product_protection_type,product_protection_rate,interest_protection_type,interest_protection_rate,quoted_ko_rate,product_pv,interest_pv,combined_pv,protected_snowball_pv,quote_ko_sensitivity,quote_ki_sensitivity,interest_ko_sensitivity,interest_ki_sensitivity
64,standard,2.0,0.01,0.05,0.35,110.0,85.0,NONE,0.0,FULL,0.0,0.5052798804695438,0.9774289558838234,0.9774289558838234,0.0,99.02257104411618,,,,
65,standard,2.0,0.01,0.083333,0.15,95.0,60.0,NONE,0.0,FULL,0.0,0.05980677717176734,0.21962357483990047,0.21962357483990047,0.0,99.7803764251601,,,,
66,standard,2.0,0.01,0.083333,0.15,95.0,68.333333,NONE,0.0,FULL,0.0,0.11333322494347459,0.21962357483990047,0.21962357483990047,0.0,99.7803764251601,,,,
67,standard,2.0,0.01,0.083333,0.15,95.0,76.666667,NONE,0.0,FULL,0.0,0.15939007920766962,0.21962357483990047,0.21962357483990047,0.0,99.7803764251601,,,,
68,standard,2.0,0.01,0.083333,0.15,95.0,85.0,NONE,0.0,FULL,0.0,0.1682567130597385,0.21962357483990047,0.21962357483990047,0.0,99.7803764251601,,,,
69,standard,2.0,0.01,0.083333,0.15,100.0,60.0,NONE,0.0,FULL,0.0,0.07184725712056406,0.661311296751137,0.661311296751137,0.0,99.33868870324886,,,,
70,standard,2.0,0.01,0.083333,0.15,100.0,68.333333,NONE,0.0,FULL,0.0,0.16160900420710925,0.661311296751137,0.661311296751137,0.0,99.33868870324886,,,,
71,standard,2.0,0.01,0.083333,0.15,100.0,76.666667,NONE,0.0,FULL,0.0,0.2944190846261391,0.661311296751137,0.661311296751137,0.0,99.33868870324886,,,,
72,standard,2.0,0.01,0.083333,0.15,100.0,85.0,NONE,0.0,FULL,0.0,0.3783953319141188,0.661311296751137,0.661311296751137,0.0,99.33868870324886,,,,
73,standard,2.0,0.01,0.083333,0.15,105.0,60.0,NONE,0.0,FULL,0.0,0.0650530307987981,1.204193746841426,1.204193746841426,0.0,98.79580625315857,,,,
74,standard,2.0,0.01,0.083333,0.15,105.0,68.333333,NONE,0.0,FULL,0.0,0.1507177671809735,1.204193746841426,1.204193746841426,0.0,98.79580625315857,,,,
75,standard,2.0,0.01,0.083333,0.15,105.0,76.666667,NONE,0.0,FULL,0.0,0.30364223878174695,1.204193746841426,1.204193746841426,0.0,98.79580625315857,,,,
76,standard,2.0,0.01,0.083333,0.15,105.0,85.0,NONE,0.0,FULL,0.0,0.49045986598055363,1.204193746841426,1.204193746841426,0.0,98.79580625315857,,,,
77,standard,2.0,0.01,0.083333,0.15,110.0,60.0,NONE,0.0,FULL,0.0,0.06045493922500382,1.5589141127485817,1.5589141127485817,0.0,98.44108588725142,,,,
