date,trade_type,instrument_type,contract,quantity,price,multiplier,notional,transaction_cost,reason
2025-11-17,roll_close,futures,IM2511,-9.0,4374.202716109324,200.0,7873564.888996782,0.0,futures_roll
2025-11-17,roll_open,futures,IM2512,9.0,4354.115662699906,200.0,7837408.192859831,0.0,futures_roll
2025-11-20,hedge_rebalance,futures,IM2512,20.0,4356.263427363518,200.0,17425053.70945407,0.0,delta_rebalance
2025-11-21,hedge_rebalance,futures,IM2512,-20.0,4356.97958432177,200.0,17427918.33728708,0.0,delta_rebalance
2025-12-08,hedge_rebalance,futures,IM2512,19.0,4369.172281734114,200.0,16602854.670589633,0.0,delta_rebalance
2025-12-09,hedge_rebalance,futures,IM2512,-19.0,4369.890560870245,200.0,16605584.131306931,0.0,delta_rebalance
2025-12-12,hedge_rebalance,futures,IM2512,-18.0,4372.046106854218,200.0,15739365.984675186,0.0,delta_rebalance
2025-12-15,roll_close,futures,IM2512,9.0,4374.202716109324,200.0,7873564.888996782,0.0,futures_roll
2025-12-15,roll_open,futures,IM2601,-9.0,4354.115662699906,200.0,7837408.192859831,0.0,futures_roll
2025-12-15,hedge_rebalance,futures,IM2601,18.0,4354.115662699906,200.0,15674816.385719663,0.0,delta_rebalance
2025-12-23,hedge_rebalance,futures,IM2601,18.0,4359.845389689424,200.0,15695443.402881926,0.0,delta_rebalance
2025-12-24,hedge_rebalance,futures,IM2601,-18.0,4360.5621355118,200.0,15698023.687842479,0.0,delta_rebalance
2026-01-12,roll_close,futures,IM2601,-9.0,4374.202716109324,200.0,7873564.888996782,0.0,futures_roll
2026-01-12,roll_open,futures,IM2602,9.0,4349.108328901082,200.0,7828394.992021948,0.0,futures_roll
2026-02-24,roll_close,futures,IM2602,-9.0,4359.845389689424,200.0,7847721.701440963,0.0,futures_roll_missing_old_contract
2026-02-24,roll_open,futures,IM2603,9.0,4359.845389689424,200.0,7847721.701440963,0.0,futures_roll_missing_old_contract
2026-02-24,hedge_rebalance,futures,IM2603,-11.0,4359.845389689424,200.0,9591659.857316734,0.0,delta_rebalance
2026-02-25,hedge_rebalance,futures,IM2603,10.0,4360.5621355118,200.0,8721124.2710236,0.0,delta_rebalance
2026-03-06,hedge_rebalance,futures,IM2603,-1.0,4367.018152629571,200.0,873403.6305259143,0.0,delta_rebalance
2026-03-09,hedge_rebalance,futures,IM2603,8.0,4369.172281734114,200.0,6990675.650774583,0.0,delta_rebalance
2026-03-10,hedge_rebalance,futures,IM2603,-8.0,4369.890560870245,200.0,6991824.897392392,0.0,delta_rebalance
2026-03-16,roll_close,futures,IM2603,-7.0,4374.202716109324,200.0,6123883.802553053,0.0,futures_roll
2026-03-16,roll_open,futures,IM2604,7.0,4354.115662699906,200.0,6095761.927779868,0.0,futures_roll
2026-03-17,hedge_rebalance,futures,IM2604,-7.0,4354.831466571934,200.0,6096764.053200707,0.0,delta_rebalance
2026-03-18,hedge_rebalance,futures,IM2604,6.0,4355.547388120022,200.0,5226656.865744026,0.0,delta_rebalance
2026-03-24,hedge_rebalance,futures,IM2604,-1.0,4359.845389689424,200.0,871969.0779378848,0.0,delta_rebalance
2026-03-27,hedge_rebalance,futures,IM2604,4.0,4361.995980668668,200.0,3489596.784534935,0.0,delta_rebalance
2026-03-30,hedge_rebalance,futures,IM2604,-5.0,4364.147632474878,200.0,4364147.632474879,0.0,delta_rebalance
2026-04-03,hedge_rebalance,futures,IM2604,-1.0,4367.018152629571,200.0,873403.6305259143,0.0,delta_rebalance
2026-04-07,hedge_rebalance,futures,IM2604,-1.0,4369.890560870245,200.0,873978.112174049,0.0,delta_rebalance
2026-04-09,hedge_rebalance,futures,IM2604,1.0,4371.327473410883,200.0,874265.4946821765,0.0,delta_rebalance
2026-04-10,hedge_rebalance,futures,IM2604,-1.0,4372.046106854218,200.0,874409.2213708436,0.0,delta_rebalance
2026-04-13,roll_close,futures,IM2604,-2.0,4374.202716109324,200.0,1749681.0864437295,0.0,futures_roll
2026-04-13,roll_open,futures,IM2605,2.0,4354.115662699906,200.0,1741646.2650799626,0.0,futures_roll
2026-04-13,hedge_rebalance,futures,IM2605,-1.0,4354.115662699906,200.0,870823.1325399813,0.0,delta_rebalance
2026-04-14,hedge_rebalance,futures,IM2605,-1.0,4354.831466571934,200.0,870966.2933143867,0.0,delta_rebalance
2026-04-15,hedge_rebalance,futures,IM2605,1.0,4355.547388120022,200.0,871109.4776240045,0.0,delta_rebalance
2026-04-16,hedge_rebalance,futures,IM2605,-1.0,4356.263427363518,200.0,871252.6854727035,0.0,delta_rebalance
