date,price,delta,gamma,product_delta,product_gamma,product_position_delta,product_position_gamma,pre_hedge_contracts,post_hedge_contracts,futures_multiplier,pre_hedge_futures_delta,post_hedge_futures_delta,pre_hedge_delta,post_hedge_delta,pre_hedge_gamma,post_hedge_gamma,pre_hedge_delta_cash_1pct,post_hedge_delta_cash_1pct,pre_hedge_gamma_cash_1pct,post_hedge_gamma_cash_1pct,delta_cash_1pct,gamma_cash_1pct,vega,theta,rho,dividend_sensitivity,basis_sensitivity
2024-12-18,-1380432.188179925,1192.9017978598552,-0.2725337116985389,1192.9017978598552,-0.2725337116985389,-1192.9017978598552,0.2725337116985389,6.0,6.0,200.0,1200.0,1200.0,7.098202140144849,7.098202140144849,0.2725337116985389,0.2725337116985389,310.693975588549,310.693975588549,52214.265102520585,52214.265102520585,310.693975588549,52214.265102520585,,,,,
2024-12-19,-1380579.9117061,1194.9077499025482,-0.27299199685812975,1194.9077499025482,-0.27299199685812975,-1194.9077499025482,0.27299199685812975,6.0,6.0,200.0,1200.0,1200.0,5.092250097451824,5.092250097451824,0.27299199685812975,0.27299199685812975,222.8918529271692,222.8918529271692,52302.06716805696,52302.06716805696,222.8918529271692,52302.06716805696,,,,,
2024-12-20,-1380730.1330455607,1196.919597585937,-0.27345162974725623,1196.919597585937,-0.27345162974725623,-1196.919597585937,0.27345162974725623,6.0,6.0,200.0,1200.0,1200.0,3.0804024140629735,3.0804024140629735,0.27345162974725623,0.27345162974725623,134.831673364864,134.831673364864,52390.12744277716,52390.12744277716,134.831673364864,52390.12744277716,,,,,
2024-12-23,-1381196.287245983,1202.9947417820763,-0.27483957485166277,1202.9947417820763,-0.27483957485166277,-1202.9947417820763,0.27483957485166277,6.0,6.0,200.0,1200.0,1200.0,-2.9947417820762894,-2.9947417820762894,0.27483957485166277,0.27483957485166277,-131.0822391027922,-131.0822391027922,52656.04145824909,52656.04145824909,-131.0822391027922,52656.04145824909,,,,,
2024-12-24,-1381356.9772217474,1205.0345072969706,-0.27530558423932244,1205.0345072969706,-0.27530558423932244,-1205.0345072969706,0.27530558423932244,6.0,6.0,200.0,1200.0,1200.0,-5.03450729697056,-5.03450729697056,0.27530558423932244,0.27530558423932244,-220.36440444247805,-220.36440444247805,52745.32339535653,52745.32339535653,-220.36440444247805,52745.32339535653,,,,,
2024-12-25,-1381520.3739807063,1207.082425298342,-0.27577345419859534,1207.082425298342,-0.27577345419859534,-1207.082425298342,0.27577345419859534,6.0,6.0,200.0,1200.0,1200.0,-7.082425298342059,-7.082425298342059,0.27577345419859534,0.27577345419859534,-310.0034106250327,-310.0034106250327,52834.96179617941,52834.96179617941,-310.0034106250327,52834.96179617941,,,,,
2024-12-26,-1381686.497587158,1209.1389802281317,-0.2762433099018369,1209.1389802281317,-0.2762433099018369,-1209.1389802281317,0.2762433099018369,6.0,6.0,200.0,1200.0,1200.0,-9.138980228131686,-9.138980228131686,0.2762433099018369,0.2762433099018369,-400.0204620610361,-400.0204620610361,52924.98064227402,52924.98064227402,-400.0204620610361,52924.98064227402,,,,,
2024-12-27,-1381855.3583557478,1211.2046522547435,-0.2767152327718413,1211.2046522547435,-0.2767152327718413,-1211.2046522547435,0.2767152327718413,6.0,6.0,200.0,1200.0,1200.0,-11.20465225474345,-11.20465225474345,0.2767152327718413,0.2767152327718413,-490.4365761049463,-490.4365761049463,53015.39553329348,53015.39553329348,-490.4365761049463,53015.39553329348,,,,,
2024-12-30,-1382478.9166118123,1194.6725094852145,-0.2729382517375594,1194.6725094852145,-0.2729382517375594,-1194.6725094852145,0.2729382517375594,6.0,6.0,200.0,1200.0,1200.0,5.327490514785495,5.327490514785495,0.2729382517375594,0.2729382517375594,233.1885138333372,233.1885138333372,52291.770232841365,52291.770232841365,233.1885138333372,52291.770232841365,,,,,
2024-12-31,-1382478.0710416874,1196.5499814422396,-0.2733671918790291,1196.5499814422396,-0.2733671918790291,-1196.5499814422396,0.2733671918790291,6.0,6.0,200.0,1200.0,1200.0,3.450018557760359,3.450018557760359,0.2733671918790291,0.2733671918790291,151.0100671129893,151.0100671129893,52373.95013682544,52373.95013682544,151.0100671129893,52373.95013682544,,,,,
2025-01-02,-1382795.5541819166,1200.722959880257,-0.27432055800964383,1200.722959880257,-0.27432055800964383,-1200.722959880257,0.27432055800964383,6.0,6.0,200.0,1200.0,1200.0,-0.7229598802568944,-0.7229598802568944,0.27432055800964383,0.27432055800964383,-31.644531242308656,-31.644531242308656,52556.60391412675,52556.60391412675,-31.644531242308656,52556.60391412675,,,,,
2025-01-03,-1382957.505858939,1202.8179718504596,-0.2747991867151555,1202.8179718504596,-0.2747991867151555,-1202.8179718504596,0.2747991867151555,6.0,6.0,200.0,1200.0,1200.0,-2.817971850459571,-2.817971850459571,0.2747991867151555,0.2747991867151555,-123.34487804513803,-123.34487804513803,52648.3035646379,52648.3035646379,-123.34487804513803,52648.3035646379,,,,,
2025-01-06,-1383457.6354460334,1209.1387790083045,-0.2762432600759478,1209.1387790083045,-0.2762432600759478,-1209.1387790083045,0.2762432600759478,6.0,6.0,200.0,1200.0,1200.0,-9.138779008304482,-9.138779008304482,0.2762432600759478,0.2762432600759478,-400.01165450852534,-400.01165450852534,52924.971096217625,52924.971096217625,-400.01165450852534,52924.971096217625,,,,,
2025-01-07,-1383629.5194397653,1211.2582604923034,-0.2767274814336893,1211.2582604923034,-0.2767274814336893,-1211.2582604923034,0.2767274814336893,6.0,6.0,200.0,1200.0,1200.0,-11.258260492303407,-11.258260492303407,0.2767274814336893,0.2767274814336893,-492.7830514691233,-492.7830514691233,53017.74223335087,53017.74223335087,-492.7830514691233,53017.74223335087,,,,,
2025-01-08,-1383804.2013050036,1213.384386991388,-0.2772132230886797,1213.384386991388,-0.2772132230886797,-1213.384386991388,0.2772132230886797,6.0,6.0,200.0,1200.0,1200.0,-13.384386991388055,-13.384386991388055,0.2772132230886797,0.2772132230886797,-585.8453060460679,-585.8453060460679,53110.80464161932,53110.80464161932,-585.8453060460679,53110.80464161932,,,,,
2025-01-09,-1383981.8057274988,1215.5174146571487,-0.27770053851260484,1215.5174146571487,-0.27770053851260484,-1215.5174146571487,0.27770053851260484,6.0,6.0,200.0,1200.0,1200.0,-15.51741465714872,-15.51741465714872,0.27770053851260484,0.27770053851260484,-679.2096301990033,-679.2096301990033,53204.16856557131,53204.16856557131,-679.2096301990033,53204.16856557131,,,,,
2025-01-10,-1384162.3891859192,1217.657505255525,-0.2781894702397602,1217.657505255525,-0.2781894702397602,-1217.657505255525,0.2781894702397602,6.0,6.0,200.0,1200.0,1200.0,-17.65750525552494,-17.65750525552494,0.2781894702397602,0.2781894702397602,-772.8831045522732,-772.8831045522732,53297.842154279344,53297.842154279344,-772.8831045522732,53297.842154279344,,,,,
2025-01-13,-1389790.2942390281,1220.5814940473142,-0.2788574920106258,1220.5814940473142,-0.2788574920106258,-1220.5814940473142,0.2788574920106258,6.0,6.0,200.0,1200.0,1200.0,-20.58149404731421,-20.58149404731421,0.2788574920106258,0.2788574920106258,-900.8684287739399,-900.8684287739399,53425.82729645073,53425.82729645073,-900.8684287739399,53425.82729645073,,,,,
2025-01-14,-1389979.950648145,1222.7493562872728,-0.2793527698546748,1222.7493562872728,-0.2793527698546748,-1222.7493562872728,0.2793527698546748,6.0,6.0,200.0,1200.0,1200.0,-22.749356287272803,-22.749356287272803,0.2793527698546748,0.2793527698546748,-995.7574900549262,-995.7574900549262,53520.71672677993,53520.71672677993,-995.7574900549262,53520.71672677993,,,,,
2025-01-15,-1390171.784489956,1224.9234916546777,-0.27984947806631927,1224.9234916546777,-0.27984947806631927,-1224.9234916546777,0.27984947806631927,6.0,6.0,200.0,1200.0,1200.0,-24.92349165467772,-24.92349165467772,0.27984947806631927,0.27984947806631927,-1090.9211311333302,-1090.9211311333302,53615.880198776715,53615.880198776715,-1090.9211311333302,53615.880198776715,,,,,
2025-01-16,-1390365.939897177,1227.1039850662673,-0.2803476397356054,1227.1039850662673,-0.2803476397356054,-1227.1039850662673,0.2803476397356054,6.0,6.0,200.0,1200.0,1200.0,-27.10398506626734,-27.10398506626734,0.2803476397356054,0.2803476397356054,-1186.3630688825972,-1186.3630688825972,53711.32213622331,53711.32213622331,-1186.3630688825972,53711.32213622331,,,,,
2025-01-17,-1390562.568052054,1229.2909474121961,-0.2808472815983761,1229.2909474121961,-0.2808472815983761,-1229.2909474121961,0.2808472815983761,6.0,6.0,200.0,1200.0,1200.0,-29.290947412196147,-29.290947412196147,0.2808472815983761,0.2808472815983761,-1282.088157053334,-1282.088157053334,53807.04766139387,53807.04766139387,-1282.088157053334,53807.04766139387,,,,,
2025-01-20,-1391168.8810387962,1235.8921280946377,-0.282355404316648,1235.8921280946377,-0.282355404316648,-1235.8921280946377,0.282355404316648,6.0,6.0,200.0,1200.0,1200.0,-35.892128094637656,-35.892128094637656,0.282355404316648,0.282355404316648,-1571.0271065665738,-1571.0271065665738,54095.98629921674,54095.98629921674,-1571.0271065665738,54095.98629921674,,,,,
2025-01-21,-1391377.0065110126,1238.1065616007213,-0.2828613205956427,1238.1065616007213,-0.2828613205956427,-1238.1065616007213,0.2828613205956427,6.0,6.0,200.0,1200.0,1200.0,-38.10656160072131,-38.10656160072131,0.2828613205956427,0.2828613205956427,-1667.95462935301,-1667.95462935301,54192.91392900049,54192.91392900049,-1667.95462935301,54192.91392900049,,,,,
2025-01-22,-1391588.413761612,1240.3283722172848,-0.28336891880220927,1240.3283722172848,-0.28336891880220927,-1240.3283722172848,0.28336891880220927,6.0,6.0,200.0,1200.0,1200.0,-40.32837221728482,-40.32837221728482,0.28336891880220927,0.28336891880220927,-1765.2050541557724,-1765.2050541557724,54290.163796395056,54290.163796395056,-1765.2050541557724,54290.163796395056,,,,,
2025-01-23,-1391802.7473680743,1242.5572552619724,-0.2838781357425373,1242.5572552619724,-0.2838781357425373,-1242.5572552619724,0.2838781357425373,6.0,6.0,200.0,1200.0,1200.0,-42.55725526197239,-42.55725526197239,0.2838781357425373,0.2838781357425373,-1862.7650447848582,-1862.7650447848582,54387.72379420697,54387.72379420697,-1862.7650447848582,54387.72379420697,,,,,
